top - 11:49:55 up  1:52,  1 user,  load average: 0.16, 0.23, 0.40
Tasks: 260 total,   1 running, 196 sleeping,   0 stopped,   0 zombie
%Cpu(s):  4.5 us,  1.3 sy,  0.0 ni, 93.7 id,  0.4 wa,  0.0 hi,  0.1 si,  0.0 st
KiB Mem : 12268392 total,  1377392 free,  2394016 used,  8496984 buff/cache
KiB Swap:  2097148 total,  2095600 free,     1548 used.  9410196 avail Mem 

  PID USER      PR  NI    VIRT    RES    SHR S  %CPU %MEM     TIME+ COMMAND
 1656 shenggu+  20   0  725608  20480  17076 S   0.0  0.2   0:00.03 evolution-addre
 1667 shenggu+  20   0 1010112  22712  19244 S   0.0  0.2   0:00.03 evolution-addre
 1734 root      20   0       0      0      0 I   0.0  0.0   0:01.13 kworker/3:3-eve
 1735 root      20   0       0      0      0 I   0.0  0.0   0:00.00 kworker/3:4-eve
 1741 shenggu+  20   0  585684  21904  17188 S   0.0  0.2   0:00.49 update-notifier
 1743 shenggu+  20   0 1337912 155948  33648 S   0.0  1.3   0:02.71 gnome-software
 1764 shenggu+  20   0  799552  39836  26352 S   0.0  0.3   1:48.34 gnome-terminal-
 1774 shenggu+  20   0   22712   5136   3492 S   0.0  0.0   0:00.01 bash
 1790 root      20   0  563700  19448  16504 S   0.0  0.2   0:00.45 fwupd
 2339 shenggu+  20   0  797112  33188  27036 S   0.0  0.3   0:00.04 deja-dup-monito
 2540 shenggu+  20   0   22712   5124   3484 S   0.0  0.0   0:00.03 bash
 2643 shenggu+  20   0   22712   5128   3500 S   0.0  0.0   0:00.01 bash
 2693 shenggu+  20   0 4892204 135072  93320 S   0.0  1.1   0:09.82 code
 2697 shenggu+  20   0  339812  31540  24304 S   0.0  0.3   0:00.02 code
 2698 shenggu+  20   0  339812  31336  24120 S   0.0  0.3   0:00.01 code
 2746 shenggu+  20   0  416380  60492  51096 S   0.0  0.5   0:00.21 code
 2761 shenggu+  20   0  592284 132740 107984 S   0.0  1.1   2:11.83 code
 2813 shenggu+  20   0 36.516g 107880  73840 S   0.0  0.9   0:29.97 code
 2844 shenggu+  20   0 4648252  70096  43784 S   0.0  0.6   0:28.30 code
 2986 root      20   0  100596   7748   6472 S   0.0  0.1   0:00.00 cupsd
 2987 root      20   0  303540  10788   9344 S   0.0  0.1   0:00.00 cups-browsed
 2989 lp        20   0   86428   6000   5184 S   0.0  0.0   0:00.00 dbus
 3032 shenggu+  20   0 50.735g 327588 106364 S   0.0  2.7  13:36.09 code
 3061 shenggu+  20   0 4661824 135716  48260 S   0.0  1.1   0:14.03 code
 3073 shenggu+  20   0 4613596  59388  43000 S   0.0  0.5   0:00.76 code
 3106 shenggu+  20   0 1310832 120016   9132 S   0.0  1.0   0:09.51 cpptools
 3142 shenggu+  20   0 4894500  88184   8784 S   0.0  0.7   0:01.94 cpptools-srv
 3155 shenggu+  20   0   22848   5444   3664 S   0.0  0.0   0:00.03 bash
 3176 shenggu+  20   0 4580812  57960  41880 S   0.0  0.5   0:00.96 code
 3435 shenggu+  20   0  282252  18540  15360 S   0.0  0.2   0:27.73 keosd
 3623 shenggu+  20   0 46.675g 244228 106316 S   0.0  2.0   1:08.85 code
 3647 shenggu+  20   0 4653516 101124  48064 S   0.0  0.8   0:06.91 code
 3661 shenggu+  20   0 4613596  58296  43004 S   0.0  0.5   0:00.79 code
 3690 shenggu+  20   0   22716   4776   3280 S   0.0  0.0   0:00.01 bash
 4678 shenggu+  20   0  197364   5760   5180 S   0.0  0.0   0:00.00 gvfsd-metadata
 4685 shenggu+  20   0  426432   8788   7600 S   0.0  0.1   0:00.02 zeitgeist-daemo
 4693 shenggu+  20   0  326708  16116  13712 S   0.0  0.1   0:00.03 zeitgeist-fts
 4721 shenggu+  20   0   41784   3772   3108 R   0.0  0.0   0:00.00 top
12346 shenggu+  20   0 34.302g 3.364g 3.351g S   0.0 28.8   5:05.01 nodeos
12347 shenggu+  20   0   90500   2736      0 S   0.0  0.0   0:00.00 oc-monitor
12348 shenggu+  20   0   90500   2736      0 S   0.0  0.0   0:00.00 oc-trampoline
12351 shenggu+  20   0 34.769g 400260  15940 S   0.0  3.3   3:19.69 rodeos
12352 shenggu+  20   0   74632   2348      0 S   0.0  0.0   0:00.00 oc-monitor
12353 shenggu+  20   0   74632   2348      0 S   0.0  0.0   0:00.00 oc-trampoline
12881 shenggu+  20   0   22712   5128   3496 S   0.0  0.0   0:00.02 bash
21485 root      20   0       0      0      0 I   0.0  0.0   0:00.00 kworker/1:0-cgr
25505 shenggu+  20   0 1361392  51636  37612 S   0.0  0.4   0:02.14 nautilus
25789 root      20   0       0      0      0 I   0.0  0.0   0:03.95 kworker/u16:2-e
25945 root      20   0       0      0      0 I   0.0  0.0   0:00.86 kworker/u16:0-e

top - 11:49:58 up  1:52,  1 user,  load average: 0.16, 0.23, 0.40
Tasks: 260 total,   1 running, 196 sleeping,   0 stopped,   0 zombie
%Cpu(s):  1.3 us,  0.3 sy,  0.0 ni, 98.3 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
KiB Mem : 12268392 total,  1378140 free,  2393236 used,  8497016 buff/cache
KiB Swap:  2097148 total,  2095600 free,     1548 used.  9410968 avail Mem 

  PID USER      PR  NI    VIRT    RES    SHR S  %CPU %MEM     TIME+ COMMAND
 1296 shenggu+  20   0 5116792 368796 125464 S   9.0  3.0  11:18.66 gnome-shell
 1065 shenggu+  20   0 1834700 265028 120368 S   4.7  2.2   5:38.04 Xorg
 1764 shenggu+  20   0  799552  39836  26352 S   2.0  0.3   1:48.40 gnome-terminal-
 4721 shenggu+  20   0   41784   3772   3108 R   0.7  0.0   0:00.02 top
 1302 root      20   0  315212   8320   7176 S   0.3  0.1   0:00.13 upowerd
 1367 shenggu+  20   0  428264   7844   6136 S   0.3  0.1   0:01.71 ibus-daemon
