top - 11:33:55 up  1:36,  1 user,  load average: 0.09, 0.24, 0.26
Tasks: 257 total,   1 running, 193 sleeping,   0 stopped,   0 zombie
%Cpu(s):  4.3 us,  1.3 sy,  0.0 ni, 93.8 id,  0.4 wa,  0.0 hi,  0.1 si,  0.0 st
KiB Mem : 12268392 total,  3227744 free,  2276188 used,  6764460 buff/cache
KiB Swap:  2097148 total,  2095856 free,     1292 used.  9517708 avail Mem 

  PID USER      PR  NI    VIRT    RES    SHR S  %CPU %MEM     TIME+ COMMAND
 1667 shenggu+  20   0 1010112  26420  22952 S   0.0  0.2   0:00.03 evolution-addre
 1734 root      20   0       0      0      0 I   0.0  0.0   0:01.07 kworker/3:3-eve
 1735 root      20   0       0      0      0 I   0.0  0.0   0:00.00 kworker/3:4-eve
 1741 shenggu+  20   0  585684  22044  17328 S   0.0  0.2   0:00.46 update-notifier
 1743 shenggu+  20   0 1337912 157204  34904 S   0.0  1.3   0:02.67 gnome-software
 1774 shenggu+  20   0   22712   5136   3492 S   0.0  0.0   0:00.01 bash
 1790 root      20   0  563700  19760  16816 S   0.0  0.2   0:00.42 fwupd
 2339 shenggu+  20   0  797112  34496  28344 S   0.0  0.3   0:00.04 deja-dup-monito
 2540 shenggu+  20   0   22712   5124   3484 S   0.0  0.0   0:00.03 bash
 2643 shenggu+  20   0   22712   5128   3500 S   0.0  0.0   0:00.01 bash
 2693 shenggu+  20   0 4892204 149212 109216 S   0.0  1.2   0:08.17 code
 2697 shenggu+  20   0  339812  44056  36820 S   0.0  0.4   0:00.02 code
 2698 shenggu+  20   0  339812  44004  36788 S   0.0  0.4   0:00.01 code
 2746 shenggu+  20   0  416380  73868  64476 S   0.0  0.6   0:00.19 code
 2761 shenggu+  20   0  594716 134848 110140 S   0.0  1.1   1:53.23 code
 2813 shenggu+  20   0 36.516g 124720  89748 S   0.0  1.0   0:26.01 code
 2844 shenggu+  20   0 4648252  84824  58192 S   0.0  0.7   0:24.99 code
 2986 root      20   0  100596   8036   6760 S   0.0  0.1   0:00.00 cupsd
 2987 root      20   0  303540  11068   9624 S   0.0  0.1   0:00.00 cups-browsed
 2989 lp        20   0   86428   6028   5212 S   0.0  0.0   0:00.00 dbus
 3032 shenggu+  20   0 50.735g 331140 123928 S   0.0  2.7  11:20.61 code
 3061 shenggu+  20   0 4661824 145468  64344 S   0.0  1.2   0:12.35 code
 3073 shenggu+  20   0 4613596  73492  57364 S   0.0  0.6   0:00.73 code
 3106 shenggu+  20   0 1310832 119444   9076 S   0.0  1.0   0:08.98 cpptools
 3142 shenggu+  20   0 4894500  87820   8684 S   0.0  0.7   0:01.84 cpptools-srv
 3155 shenggu+  20   0   22716   5176   3532 S   0.0  0.0   0:00.02 bash
 3176 shenggu+  20   0 4580812  72408  56328 S   0.0  0.6   0:00.89 code
 3435 shenggu+  20   0  282252  18776  15596 S   0.0  0.2   0:23.45 keosd
 3623 shenggu+  20   0 46.676g 259692 124808 S   0.0  2.1   1:02.43 code
 3647 shenggu+  20   0 4653516 116344  63996 S   0.0  0.9   0:06.63 code
 3661 shenggu+  20   0 4613596  72708  57416 S   0.0  0.6   0:00.76 code
 3690 shenggu+  20   0   22716   4776   3280 S   0.0  0.0   0:00.01 bash
12346 shenggu+  20   0 34.297g 2.411g 2.403g S   0.0 20.6   3:24.07 nodeos
12347 shenggu+  20   0   90500   2736      0 S   0.0  0.0   0:00.00 oc-monitor
12348 shenggu+  20   0   90500   2736      0 S   0.0  0.0   0:00.00 oc-trampoline
12351 shenggu+  20   0 34.785g 326616  15940 S   0.0  2.7   2:16.36 rodeos
12352 shenggu+  20   0   74632   2348      0 S   0.0  0.0   0:00.00 oc-monitor
12353 shenggu+  20   0   74632   2348      0 S   0.0  0.0   0:00.00 oc-trampoline
12881 shenggu+  20   0   22712   5128   3496 S   0.0  0.0   0:00.02 bash
21485 root      20   0       0      0      0 I   0.0  0.0   0:00.00 kworker/1:0-cgr
25505 shenggu+  20   0  984340  50396  36592 S   0.0  0.4   0:01.27 nautilus
25789 root      20   0       0      0      0 I   0.0  0.0   0:00.96 kworker/u16:2-e
25945 root      20   0       0      0      0 I   0.0  0.0   0:00.60 kworker/u16:0-e
26063 shenggu+  20   0   41784   3744   3084 R   0.0  0.0   0:00.00 top

top - 11:33:58 up  1:36,  1 user,  load average: 0.09, 0.24, 0.26
Tasks: 257 total,   1 running, 193 sleeping,   0 stopped,   0 zombie
%Cpu(s):  1.3 us,  0.3 sy,  0.0 ni, 98.4 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
KiB Mem : 12268392 total,  3213616 free,  2280644 used,  6774132 buff/cache
KiB Swap:  2097148 total,  2095856 free,     1292 used.  9503524 avail Mem 

